	貸し会議室サービス
A	アクター
C	アクター群	アクター	説明
B	サービス利用者	会議室オーナー	役割:会議室を登録・貸出し、利用者に会議室を提供する / 社内外:社外 / 立場:提供者
B	サービス利用者	利用者	役割:会議室を検索・予約・利用し、評価を行う / 社内外:社外 / 立場:受益者
B	サービス運営	サービス運営担当者	役割:サービス全体の運営管理、オーナー審査、精算処理を行う / 社内外:社内 / 立場:提供者 / 主担当業務:売上分析フロー、利用状況管理フロー
A	外部システム
C	外部システム群	外部システム	説明
B	決済系	決済機関	会議室オーナーへの精算・利用者からの利用料引き落としに使用する
A	情報
C	コンテキスト	情報	属性	関連情報	状態モデル	バリエーション	説明
B	オーナー管理	オーナープロフィール	オーナーID、氏名、連絡先、自己紹介		オーナー申請状態		会議室オーナーの基本情報を管理する
B	オーナー管理	オーナー申請	申請ID、オーナーID、申請日、審査結果、審査日	オーナープロフィール	オーナー申請状態		オーナー登録の申請内容を管理する
B	会議室管理	会議室	会議室ID、会議室名、広さ、価格、機能性、住所、オーナーID	オーナープロフィール、運用ルール		会議室機能性	会議室の物件情報を管理する
B	会議室管理	運用ルール	ルールID、会議室ID、キャンセルポリシー、貸出可否	会議室			会議室ごとの運用条件を管理する
B	予約管理	予約	予約ID、利用者ID、会議室ID、予約日時、利用開始日時、利用終了日時	会議室、決済情報	予約状態		利用者による会議室の予約情報を管理する
B	予約管理	決済情報	決済ID、利用者ID、決済方法、カード番号、決済状況		決済方法	利用者の決済手段を管理する	
B	評価管理	会議室評価	評価ID、利用者ID、会議室ID、評価点、コメント、評価日	会議室、予約		評価種別	利用者が会議室とオーナーに対して行った評価を管理する
B	評価管理	利用者評価	評価ID、オーナーID、利用者ID、評価点、コメント、評価日	予約		評価種別	オーナーが利用者に対して行った評価を管理する
B	会議室利用管理	鍵	鍵ID、会議室ID、貸出日時、返却日時	会議室、予約	鍵状態		会議室の鍵の受け渡し状況を管理する
B	会議室利用管理	利用実績	実績ID、会議室ID、予約ID、利用日、利用時間	会議室、予約	会議室利用状態		会議室の利用実績を管理する
B	売上管理	売上実績	売上ID、オーナーID、会議室ID、売上額、対象月	会議室、利用実績			オーナーの会議室貸出による売上実績を管理する
B	売上管理	手数料売上	手数料ID、売上額、対象月、会議室ID	利用実績			サービス運営者の手数料売上を管理する
B	利用管理	利用履歴	履歴ID、利用者ID、会議室ID、利用日、利用時間	利用実績			会員別・物件別の利用履歴を管理する
B	精算管理	精算情報	精算ID、オーナーID、対象月、精算額、支払日、支払状況	売上実績			オーナーへの精算額の計算結果を管理する
B	問合せ管理	問合せ	問合せID、送信者ID、受信者ID、件名、内容、回答、送信日時	予約			利用者からオーナーまたは運営担当者への問合せを管理する
A	状態
C	コンテキスト	状態モデル	状態	遷移UC	遷移先状態	状態モデル・状態の説明
B	オーナー管理	オーナー申請状態		オーナー申請を登録する	申請中	オーナーがオーナー申請を行い申請中状態になる
B	オーナー管理	オーナー申請状態	申請中	オーナー申請を審査する	審査中	運営担当者が審査を開始する
B	オーナー管理	オーナー申請状態	審査中	オーナー申請を審査する	承認	審査の結果、オーナー登録が承認される
B	オーナー管理	オーナー申請状態	審査中	オーナー申請を審査する	却下	審査の結果、オーナー登録が却下される
B	オーナー管理	オーナー申請状態	承認	退会を申請する	退会	オーナーが退会手続きを行う
B	オーナー管理	オーナー申請状態	却下			却下で終了
B	オーナー管理	オーナー申請状態	退会			退会で終了
B	予約管理	予約状態		予約を登録する	仮予約	利用者が会議室の予約を申し込む
B	予約管理	予約状態	仮予約	利用者評価を照会する	予約確定	オーナーの使用許諾により予約が確定する
B	予約管理	予約状態	仮予約	予約を取消する	取消済	利用者が仮予約を取り消す
B	予約管理	予約状態	予約確定	予約を変更する	変更中	利用者が予約内容の変更を申し込む
B	予約管理	予約状態	予約確定	予約を取消する	取消済	利用者が予約を取り消す
B	予約管理	予約状態	予約確定	鍵の返却を記録する	完了	会議室利用が完了する
B	予約管理	予約状態	変更中	予約を変更する	予約確定	予約変更が確定する
B	予約管理	予約状態	取消済			取消で終了
B	予約管理	予約状態	完了			完了で終了
B	会議室利用管理	会議室利用状態		予約を登録する	利用前	予約が確定し利用前状態になる
B	会議室利用管理	会議室利用状態	利用前	鍵の貸出を記録する	利用中	利用者がオーナーから鍵を受け取り利用を開始する
B	会議室利用管理	会議室利用状態	利用中	鍵の返却を記録する	利用終了	利用者が鍵を返却し利用を終了する
B	会議室利用管理	会議室利用状態	利用終了			利用終了で終了
B	会議室利用管理	鍵状態		鍵の貸出を記録する	貸出中	オーナーが利用者に鍵を貸し出す
B	会議室利用管理	鍵状態	貸出中	鍵の返却を記録する	返却済	利用者が鍵を返却する
B	会議室利用管理	鍵状態	返却済			返却済で終了
A	条件
C	コンテキスト	条件	条件の説明	バリエーション	状態モデル
B	会議室利用管理	使用許諾判定条件	オーナーが利用者の過去の利用評価を確認し、一定基準以上の評価がある場合に使用を許諾する		
B	予約管理	キャンセル受付条件	キャンセルポリシーに基づき、予約の取消可否と取消料を判定する		予約状態
B	精算管理	精算実行条件	月末時点の利用履歴に基づき、オーナーへの精算額を計算する		
B	オーナー管理	オーナー審査条件	オーナー登録申請の内容を審査し承認または却下を判定する		オーナー申請状態
A	バリエーション
C	コンテキスト	バリエーション	値	説明
B	予約管理	決済方法	クレジットカード、電子マネー	利用者が予約時に選択する決済手段の種別
B	会議室管理	会議室機能性	プロジェクター、ホワイトボード、Wi-Fi、テレビ会議設備	会議室に備わっている設備・機能の分類
B	評価管理	評価種別	会議室評価、オーナー評価、利用者評価	評価の対象を区分する
A	BUC
C	業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明
B	サービス運営業務	利用状況管理フロー		利用状況を分析する		利用状況を照会する	画面	利用状況分析画面	アクター	サービス運営担当者	
B	サービス運営業務	問合せ対応フロー		問合せに対応する		問合せ対応を登録する	情報	問合せ			運営担当者が利用者からのサービス問合せに対応する
B	サービス運営業務	問合せ対応フロー		問合せに対応する		問合せ対応を登録する	画面	問合せ対応画面	アクター	サービス運営担当者	
B	精算業務	オーナー精算フロー		精算額を計算する		精算額を計算する	情報	精算情報			月末に会議室別の利用履歴からオーナーへの精算額を計算する
B	精算業務	オーナー精算フロー		精算額を計算する		精算額を計算する	情報	利用実績			
B	精算業務	オーナー精算フロー		精算額を計算する		精算額を計算する	条件	精算実行条件			
B	精算業務	オーナー精算フロー		精算額を計算する		精算額を計算する	画面	精算処理画面	アクター	サービス運営担当者	
B	精算業務	オーナー精算フロー		精算を実行する		精算を実行する	情報	精算情報			オーナーへの精算を決済機関を通じて実行する
B	精算業務	オーナー精算フロー		精算を実行する		精算を実行する	イベント	精算実行連携	外部システム	決済機関	
B	精算業務	オーナー精算フロー		精算を実行する		精算を実行する	画面	精算実行画面	アクター	サービス運営担当者	
